restaurant_name,cuisines,rating_35
Italia Pizza Au Coin Du Feu,"Italian, Pizza",1
Restaurant Domaine de Barres : Ô Domaine,"French, International, Contemporary, Diner, Gastropub",1
Le Bisan' Kfe,"Brew Pub, Diner, Wine Bar, French, Dining bars",1
Bar a champagne,"Bar, Pub",1
Pizza du Fort,"Italian, French, Pizza",1
Le Chalet du Lac,,1
Le Kin Di Thai,"Asian, Thai, Central Asian, Kyoto cuisine, Beijing cuisine",1
La Seillanaise,French,1
Le Pavillon Domont,French,1
Pizza Family,,1
Il Posto Pizza,Pizza,1
Les Délices d'Italie de Bailly,,1
Pizzeria Jojo,"Italian, French, Pizza",1
Boulangerie Patisserie Guerin A.A,French,1
Le Petit Sabayon,"French, European",1
L'Olivier Restaurant 91,,1
Le Sorgia,"French, European",1
Restaurant Le Bouys,French,1
Aux 2 Rivieres,French,1
Le 8uit Café Ludique,"Brew Pub, European, Pub, Dining bars",1
Le 28 Pardi!,"French, Contemporary",1
O Fait Maison by Sarah,"American, French",1
Le Chalet du Bois,British,1
La Sableira,"French, Fast food",1
Domaine de l'Ecart,French,1
Restaurant Grey's Pizza,"Pizza, Italian",1
Viens Vienne,French,1
Madame Claire Courtard,,1
xav pizza,,1
C'simple mais C'bon,"Deli, Italian, French, Pizza, Fast food",1
Restaurant La Chouette d'Or,French,1
Chez Paul,"French, Cafe",1
Intervalle,"Pub, Gastropub",1
Restaurant La Mitaine,,1
Pizzeria Cécilia,"Italian, French, Pizza",1
Blym's,,1
Brasserie Restaurant Le Week End,"French, Dining bars",1
Les tables d'en haut,French,1
La Po'Potes,"French, Bar, Fast food, Street Food",1
Snow Tasty,"French, Fast food",1
La Yunta afterski,"Brew Pub, Bar, French, Pub",1
Atelier des Papilles,French,1
Café Au Bord Du Monde,"French, European",1
Aztek',,1
Le Riche Lieu,"French, Healthy",1
Chez Les Tontons,French,1
L'Évidence,"French, Pub, Gastropub",1
Friterie du Parc Chez Jerem',"Belgian, European",1
Le Graniti'k,"French, Steakhouse, Bar, Fast food, Wine Bar",1
L'Ourson bar,French,1
Bon Sejour,French,1
Boulangerie Dominin,,1
L'Oasis du Gayfie,"French, Asian, Healthy, Lebanese, Mediterranean",1
Cabane à Sucre Constantin,Canadian,1
Chez Francois,French,1
La Cave A Pizza,Italian,1
Le Provencal,French,1
Friterie du Capreau,"Belgian, Fast food, European",1
Ititoca,French,1
Les Brisants,French,1
Country Cottage Pub,European,1
Miam's,French,1
Restaurant Autour du Monde,International,1
Le Faidherbe,,1
Kay Shaylina,,1
La P'tite Marmite Gasconne,"French, International, European",1
Tandem,French,1
Les deux bérets la valsière,"Italian, Pizza, French",1
L'escale de la bastide,,1
Magee's restaurant,,1
Le Moulin du Gué,"Belgian, European, French",1
Pizza Reydo,Pizza,1
Ma pressieuse,Brew Pub,1
La Grange au Bureau,,1
O Happy Days,Pizza,1
La Vie Sauvage,,1
O Délices Du Rines,"European, Portuguese, Campania, Southern-Italian",1
Le5,French,1
Bataille Charles Jean-louis,Cafe,1
Le5,"French, International",1
Club'ouse,French,1
MA-MA PIZZA,"Italian, Pizza, Street Food",1
A Rena d'Oro,Pizza,1
Restaurant de La Gare de Percy,"French, European",1
Le Grand Chelem,"French, American, Fast food, Street Food",1
Carpe Diem,French,1
Bon thé Bonheur,"French, European, Contemporary",1
Le Bistroy,French,1
La Souche,,1
Restaurant Sandikala,French,1
Coeur D Art Tea Chaud,French,1
L'Argentero,French,1
Tete a the,"Cafe, European, International",1
Fournil Lullinois,French,1
L'R du temps,French,1
Chez kryst'l,French,1
Le Presbytere,French,1
L'atelier du Primeur Ventabren,"Pizza, Deli, Fruit parlours",1
La Pasteria,,1
La Ritournelle,French,1
Izakaya,"Japanese, Sushi, Asian",1
Bar Restaurant de la Mairie,French,1
Iron Horse 202,,1
Pretty Bakery,"American, Cafe",1
La Flambée,"Italian, Pizza",1
Le buron de la Croix Saint Robert,"Salvadoran, Azerbaijani, French, South American, Hawaiian, Norwegian",1
La Fabrique,Pizza,1
Ô Local,French,1
Au Deux 5,"French, American, Pizza, Fast food",1
La Luciole,"French, European",1
608 Wok Panda,"Chinese, Japanese, Asian, Vietnamese",1
Auberge des 3 chênes,,1
Effet pizza,"Pizza, Italian",1
Côte & Baie,,1
La Cantine,"French, Seafood, Barbecue, European",1
Auberge de la Riviere Restaurant,"French, European",1
