cuisines,count
"Diner, Austrian, European, Central European, German",2
"Mediterranean, European, Deli, French, International, Asian",2
"Indian, Fast food, Healthy",2
"Japanese, Spanish, Fusion",2
"Dutch, Bar, European, Spanish, Pub, Diner",2
"Dutch, Barbecue, European, International",2
"Italian, Brew Pub, Pub, Bar, Gastropub",2
"Deli, French, European, Bar",2
"Seafood, Sushi, Asian, Korean",2
"Healthy, Cafe, European, British",2
"German, Cafe, Grill, Pub, Gastropub",2
"American, Fast food, Irish",2
"European, Spanish, Dutch, Seafood",2
"German, Czech, Eastern European, European, Central European",2
"Dutch, Cafe, International",2
"Japanese, Austrian, European",2
"Dutch, International, Healthy, European, Asian",2
"German, Brew Pub, European, Healthy",2
"Wine Bar, Bar, International",2
"German, Bar, Cafe, Fast food, Barbecue, Pub",2
"Cafe, European, Bar, Contemporary, Pub, Healthy",2
"Fast food, International, Greek",2
"Lebanese, Dutch, Mediterranean, European, Turkish",2
"German, International, Central European, European, Wine Bar",2
"French, Dutch, European, Italian, Steakhouse",2
"Italian, American, Dutch, European, Asian, Wine Bar",2
"Grill, French, Bar, Pizza, Seafood, Pub",2
"Arabic, Middle Eastern, Moroccan, Mediterranean",2
"Indian, Seafood, Asian, Balti, Eastern European, Sri Lankan, Central Asian",2
"Italian, American, Brew Pub, Grill, Pub, Bar",2
"Asian, Vietnamese, Street Food, Healthy",2
"French, European, Deli, Contemporary, Fusion, Gastropub",2
"Cafe, Deli, Korean",2
"French, Cafe, Brew Pub, European",2
"Bar, Fast food, Turkish, Grill, Pub, Diner",2
"Italian, Pizza, Seafood, Mediterranean, Barbecue, Sicilian, Southern-Italian, Grill",2
"Italian, Bar, Pizza, Cafe, Fast food, European",2
"Cafe, Healthy, European, British",2
"Austrian, Swiss, Cafe, German, European",2
"Mexican, American, Southwestern, South American, Central American",2
"Mexican, Latin, Bar, Cafe, Spanish, Deli",2
"German, Grill, Central European, European",2
"European, Central European, Healthy, German",2
"French, American, Vietnamese",2
"Mexican, American, Cafe, International",2
"French, Hawaiian, Dining bars",2
"Barbecue, Deli, Dining bars",2
"Japanese, Sushi, Thai, Japanese Fusion",2
"Italian, French, German, Cafe, Diner",2
"French, Dutch, Philippine, Fast food, European, Asian",2
"Italian, French, Lebanese, Seafood, Mediterranean, Soups",2
"French, Dutch, European, Seafood, Contemporary",2
"Austrian, Grill, Contemporary, Mediterranean, European, Diner",2
"Bar, French, Pizza, Pub",2
"Bar, Spanish, Italian",2
"German, Mediterranean, European, Soups, Croatian, Central European",2
"Bar, Healthy, Wine Bar",2
"International, Central European, European, Soups",2
"Mexican, Latin, Grill",2
"Japanese, Pizza, European, French",2
"Contemporary, French, Australian",2
"Pizza, Egyptian, Italian, Mediterranean",2
"American, German, Bar, Pub, Diner",2
"Italian, Bar, Pizza, Mediterranean, Romana, Lazio, Central-Italian",2
"Healthy, Cafe, Diner",2
"Italian, Pizza, Fast food, European, Swedish",2
"Wine Bar, German, Bar, Mediterranean, Pub, Central European",2
"French, International, Healthy, Dining bars",2
"Cafe, European, Scandinavian, Danish, International",2
"Mediterranean, Asian, Thai, Fusion",2
"Polish, Diner, Soups, Eastern European, Central European",2
"International, Mediterranean, Spanish, Italian",2
"Italian, Mediterranean, European, Healthy, Wine Bar, Romana, Lazio, Central-Italian",2
"Mediterranean, Street Food, Israeli, Pub, Middle Eastern",2
"Dutch, European, Contemporary, Healthy, Soups, Dining bars",2
"Brew Pub, Pub, Street Food, Bar",2
"Italian, Seafood, Mediterranean, Barbecue, Neapolitan, Campania, Southern-Italian, Pizza",2
"Mediterranean, French, Bar, Cafe, Pub, Middle Eastern",2
"Deli, Street Food, German, Fast food, Diner",2
"European, French, Dutch, Cafe, Barbecue",2
"Mediterranean, European, Greek, Fusion",2
"Austrian, Fast food, European, Diner, Soups, German",2
"Italian, Brew Pub, Pizza, Bar, Mediterranean, Pub",2
"Street Food, Soups, French",2
"Mediterranean, European, Contemporary, Catalan",2
"Chinese, Seafood, International, Vietnamese, Central Asian",2
"Grill, Polynesian",2
"French, Japanese, Asian, European",2
"French, Deli, Pub, Gastropub, Dining bars",2
"Austrian, Bar, European, Grill, Healthy, Central European",2
"Spanish, Deli, Contemporary, Fusion",2
"French, Cafe, Mediterranean, European, Diner",2
"Bar, British, Grill, Pub, Dining bars",2
"Seafood, Mediterranean, Gastropub, French, European",2
"Chinese, Japanese, Asian, Fusion, Seafood, Sushi",2
"Italian, French, Steakhouse, European, Grill",2
"Contemporary, Central Asian, Bar, Pub",2
"Bar, European, Contemporary, Pub, Fusion",2
"Moroccan, Fast food, Mediterranean, Contemporary",2
"Italian, Pizza, Middle Eastern, Arabic",2
"Gastropub, French, Fusion, Mediterranean, Wine Bar",2
"Italian, Seafood, Mediterranean, Tuscan, Central-Italian, Pizza, Barbecue",2
"Italian, Bar, Seafood, Mediterranean, European, Sicilian, Southern-Italian",2
"French, Steakhouse, Grill, Mediterranean, Barbecue, European",2
"Fast food, Asian, Fusion, Vietnamese",2
"Italian, Brew Pub, Pub, Pizza",2
"Pizza, Cafe, Fast food, European, Central European",2
"Spanish, Caribbean, Mediterranean, Cuban",2
"Arabic, African, Moroccan, Mediterranean, Middle Eastern",2
"Neapolitan, Campania, Italian, Southern-Italian",2
"Turkish, Fast food, Mediterranean, Healthy, Middle Eastern",2
"Seafood, Mediterranean, European, Healthy, Portuguese, International",2
"Italian, European, Greek, Deli, Middle Eastern",2
"Italian, Brew Pub, Pizza, Barbecue, European, Pub",2
"European, Portuguese, Seafood, Contemporary",2
"Italian, Mediterranean, Neapolitan, Campania, Southern-Italian, Seafood, Barbecue",2
"Italian, Seafood, Mediterranean, Barbecue, Greek",2
"American, European, Asian, Czech",2
"German, European, Gastropub, Pub, Diner, Central European",2
"British, Seafood, Healthy",2
"Japanese, Sushi, Chinese, Asian, Vietnamese",2
"Italian, Seafood, European, French",2
"German, Bar, Deli, Pub",2
"Polish, European, International, Contemporary, Central European",2
"Dutch, European, Polish",2
"French, Fast food, Dining bars, Cafe",2
"Fast food, Street Food, Pizza, Turkish",2
"Japanese, Sushi, Thai, Mongolian, Chinese",2
"Italian, International, Contemporary, Healthy",2
"Chinese, Cajun & Creole, Asian, Indonesian",2
"Italian, Bar, Cafe, Fast food, Mediterranean",2
"Italian, Seafood, Sicilian",2
"International, European, Fusion, Central European",2
"German, Deli, European",2
"Steakhouse, Grill, Bar",2
"Bar, Cafe, European, Pub, Swedish, Scandinavian",2
"Bar, Fast food, European, Pub, Hungarian",2
"Austrian, International, Croatian, European",2
"International, Contemporary, Greek",2
"European, Belgian, Bar, Cafe, Pub, Gastropub",2
"Indian, Afghani",2
"French, International, European, Grill",2
"Cafe, European, Diner, Healthy, Dining bars",2
"Chinese, Pub, Asian",2
"Mediterranean, Healthy, Street Food, Soups",2
"Italian, Pizza, French, Fast food, Street Food",2
"Fast food, Turkish, Healthy, Street Food",2
"Italian, Austrian, European, German",2
"Cafe, Dutch, European, Contemporary, Healthy",2
"Vietnamese, Chinese, Pizza, Asian",2
"Soups, Dutch",2
"French, German, Austrian, European, Healthy",2
"Southwestern, Diner",2
"French, Dutch, International, Seafood, European",2
"Chinese, Asian, Indonesian, Seafood",2
"Italian, American, Brew Pub, Pub, Gastropub",2
"Japanese, Asian, Thai, Hawaiian",2
"Lebanese, Bar, Mediterranean, Pub",2
"French, Bar, Thai, Grill, Diner",2
"Italian, Sardinian, Central-Italian, Southern-Italian, Seafood",2
"Thai, Hawaiian, Japanese Fusion",2
"Italian, French, Indian",2
"Italian, American, Canadian",2
"Steakhouse, Brew Pub, Barbecue, Pub, Wine Bar, French",2
"Italian, Steakhouse, Mediterranean, Barbecue, Tuscan",2
"Cafe, Portuguese, Soups, European",2
"Italian, Seafood, Mediterranean, European, Diner",2
"American, Grill, Bar, British",2
"German, Pizza, Turkish, Middle Eastern",2
"French, Spanish, Asian",2
"Japanese, International, Fusion, Seafood, Sushi, Asian",2
"Eastern European, Armenian, Barbecue",2
"Italian, European, Bar, Mediterranean, Pub",2
"Japanese, Seafood, Asian, Hawaiian",2
"French, Mediterranean, European, Healthy, Contemporary, Dining bars",2
"German, Cafe, Pub",2
"Grill, Barbecue, Steakhouse, Mediterranean",2
"French, Deli, Northern-Italian, Central-Italian, Southern-Italian",2
"Moroccan, Spanish, Deli, Grill, Algerian",2
"Bar, Deli, Pub, Healthy, Street Food, Soups",2
"Italian, Mexican, Chinese, Indian, British",2
"French, American, Mediterranean, Spanish, Wine Bar",2
"Grill, Indian, Asian, Balti, Bangladeshi",2
"German, Diner, Healthy, Georgian, Algerian",2
"Pizza, Fast food, South American, Central American",2
"Italian, Austrian, Mediterranean",2
"French, Brazilian, Mediterranean, South American, Dining bars",2
"Mediterranean, French, Moroccan, Cajun & Creole, Seafood, Asian",2
"German, Fusion, Cafe, European, Soups",2
"French, Seafood, Polynesian, Contemporary, Wine Bar",2
"Seafood, Mediterranean, Turkish, European",2
"Grill, Dining bars, French",2
"Sicilian, Southern-Italian, Italian, Barbecue",2
"Italian, Soups, Seafood, Mediterranean",2
"Bar, Cafe, European, Mediterranean",2
"Austrian, European, Wine Bar, Central European, Diner",2
"Cafe, International, Mediterranean, European, Spanish",2
"Diner, International, Healthy",2
"Central-Italian, Romana, Lazio",2
"Greek, Diner, Wine Bar",2
"Mediterranean, Spanish, Bar, Pub, Wine Bar",2
"International, Healthy, Soups, Cafe, European",2
"Asian, Vietnamese, Indonesian, Hawaiian",2
"Mediterranean, Greek, Eastern European, Egyptian",2
"Brew Pub, Barbecue, Pub, French, Bar",2
"Italian, French, Bar, Pizza, Grill, Pub",2
"Central European, Austrian, Bar, European, Pub",2
"International, French, Seafood, European, Central European",2
"Cafe, Wine Bar, Central European, European",2
"German, Steakhouse, European, Deli, Diner, Central European",2
"Japanese, Seafood, Asian, Chinese",2
"Italian, Mediterranean, Deli, Sicilian, Southern-Italian",2
"Japanese, Asian, Thai, Chilean",2
"Bar, French, International, Contemporary",2
"French, Barbecue, Cafe, Grill, Diner",2
"French, Bar, Pub, European, Grill",2
"German, Moroccan",2
"French, Steakhouse, European, Grill, Healthy",2
"Gastropub, French, Bar, Seafood, European, Diner",2
"Fast food, Turkish, Grill, Middle Eastern, Persian",2
"Italian, Steakhouse, Mediterranean, Barbecue, Deli",2
"Italian, Pizza, Seafood, Grill, Southern-Italian",2
"Brazilian, French, Mediterranean",2
"Pizza, Italian, European, Dining bars",2
"Italian, Bar, Street Food, Cafe, International",2
"European, Portuguese, Fast food, Diner",2
"Italian, French, Pizza, Brew Pub, Bar",2
"Italian, French, Mexican, British, South American, Colombian",2
"Dutch, Cafe, Healthy, European, Pub",2
"American, Deli, Diner",2
"American, Fast food, Brew Pub, International",2
"American, European, French, Bar, Pub",2
"Asian, Vietnamese, Chinese, African, Fast food, Thai, South American, Central American",2
"French, Cafe, Fusion, Wine Bar, Hawaiian",2
"Italian, Pizza, Steakhouse, Fast food",2
"German, Cafe, Barbecue, Grill, Wine Bar",2
"Bar, Seafood, Spanish, Grill, Pub",2
"Chinese, Cafe, Fast food",2
"Dutch, Cafe, Seafood, Fast food, European",2
"Italian, Fast food, European, Turkish, Middle Eastern",2
"American, International, Middle Eastern",2
"Fast food, American, European, Grill, Healthy, French",2
"French, Bar, International, Wine Bar, Dining bars",2
"Barbecue, Street Food, American, Indian, African",2
"Mediterranean, Barbecue, Argentinian, Steakhouse",2
"Moroccan, Middle Eastern, Mediterranean, Diner, Arabic",2
"Chinese, Middle Eastern, Afghani",2
"American, Bar, Cafe, European, Grill, Pub, Central European",2
"Fusion, Street Food, Bar, Pub, Diner",2
"Lebanese, Fast food, Turkish, Middle Eastern, Arabic, Mediterranean",2
"Cafe, Mediterranean, European, Pub, Fusion, Portuguese, Gastropub",2
"Bar, Cafe, Pub, Wine Bar, Mediterranean, European, Central European",2
"Russian, Healthy",2
"Mediterranean, Fusion, Italian",2
"Contemporary, Healthy, Austrian, Pizza, European, Diner",2
"Irish, European, Pub, International",2
"Moroccan, Mediterranean, French, African",2
"Seafood, French, Mediterranean, International",2
"Steakhouse, Belgian, French, European",2
"Bar, Grill, Pub, Austrian, European",2
"Seafood, Italian, Wine Bar",2
"German, Spanish, Asian, Korean, Wine Bar",2
"American, Latin, Spanish, Argentinian, South American, Central American",2
"Seafood, European, Mediterranean, Barbecue",2
"Turkish, Fast food, Middle Eastern, Mediterranean",2
"Cafe, International, German, European",2
"Chinese, Japanese, Fast food",2
"International, Contemporary, Fusion, French, European, Wine Bar",2
"Italian, Chinese, Indian, Fast food, International",2
"Italian, Bar, Cafe, Seafood, Mediterranean, Pub, Diner",2
"Wine Bar, French, Mediterranean, European, Grill, Healthy",2
"Taiwanese, Chinese, Asian",2
"American, German, Turkish, Fast food",2
"European, Asian, Vietnamese, Central European",2
"Italian, Moroccan, Pizza, Mediterranean, Middle Eastern",2
"Japanese, Sushi, Chinese, Asian, Hawaiian",2
"Greek, European, Grill",2
"Mexican, American, French, Grill",2
"Portuguese, Steakhouse, European, Grill",2
"Brazilian, Barbecue, French, South American",2
"Bar, Gastropub, French",2
"Bar, Mediterranean, Barbecue, Spanish, Dining bars",2
"Italian, American, Middle Eastern, Afghani",2
"German, Spanish, French, Bar, Cafe, Pub",2
"European, Healthy, Mediterranean, Spanish",2
"French, Mediterranean, Street Food",2
"Mediterranean, Cafe, Diner",2
"Gastropub, French, American, Pub",2
"Barbecue, Afghani, Mediterranean, Middle Eastern",2
"Dutch, Bar, Cafe, International, Mediterranean, European, Pub",2
"International, European, Asian, Korean",2
"Brew Pub, Cafe, Pub, Gastropub, Dining bars",2
"French, Italian, Latin, Bar, Spanish, Pub",2
"Lebanese, Fast food, Mediterranean, Pub, Middle Eastern",2
"French, Bar, International, Mediterranean, European, Pub, Wine Bar",2
"Italian, Pizza, Cafe, Seafood, European, Grill, Dining bars",2
"Bar, Pizza, Pub, Healthy, Southern-Italian, Dining bars",2
"Wine Bar, French, Bar, Diner",2
"German, Bar, Pub, Wine Bar, Gastropub",2
"Italian, Barbecue, Mediterranean, Steakhouse",2
"Italian, Bar, Pizza, Cafe, Seafood, Mediterranean, Sicilian, Southern-Italian",2
"Austrian, Barbecue, Eastern European, European",2
"Pizza, European, Deli, Swedish",2
"French, Brew Pub, European, Pub, Dining bars",2
"Pizza, Mediterranean, Seafood, Neapolitan, Campania, Southern-Italian",2
"Italian, Seafood, Mediterranean, European, Cafe",2
"French, German, International, European, Diner, Central European",2
"European, Spanish, Pizza",2
"Bar, Seafood, Pub, Gastropub, Dining bars",2
"Healthy, German, Polish, European, Diner",2
"Indian, Pizza, Italian, Fast food, Asian",2
"African, Pizza, Fast food, Turkish",2
"Indian, Bar, Fusion, Diner, Healthy",2
"Asian, Street Food, Taiwanese, Cafe",2
"Austrian, Sushi, European",2
"French, African, Ethiopian",2
"Austrian, European, Grill, Barbecue, Central European",2
"Italian, French, Lebanese, Mediterranean, Spanish, Middle Eastern",2
"French, Caucasian, European, Central European",2
"Bar, Pub, Czech, Eastern European, Central European, European",2
"American, Grill, Healthy, Street Food, Beer restaurants",2
"German, European, Bar, Gastropub",2
"Fast food, European, Deli, Pub, Gastropub, Scandinavian",2
"American, German, European, Fast food",2
"Cafe, Seafood, Spanish, Grill, Argentinian, South American",2
"European, French, Seafood, Mediterranean, Wine Bar",2
"Asian, Chinese, Fast food, Vietnamese",2
"Moroccan, Mediterranean, Barbecue, Grill",2
"European, Fusion, International, Dining bars",2
"Latin, Spanish, Fusion, Healthy, Venezuelan, South American, Colombian",2
"International, Greek, European, Turkish",2
"Chinese, Sushi, Central Asian",2
"French, Fast food, Barbecue, Israeli",2
"American, Southwestern, Steakhouse",2
"Healthy, French, Bar, Pub",2
"International, Cafe, Street Food",2
"Bar, Mediterranean, Gastropub",2
"French, Peruvian, South American",2
"International, Fusion, Seafood",2
"French, Bar, Cafe, European, Pub, Diner",2
"French, Moroccan, Mediterranean, British, Greek",2
"Italian, Brew Pub, Pizza, Gastropub, Pub",2
"Cafe, European, Russian, Eastern European",2
"Brew Pub, International, European, Contemporary, Wine Bar",2
"Mediterranean, Greek, Dining bars",2
"Wine Bar, French, European, Healthy, Gastropub",2
"Greek, German, Pizza, Seafood, European, Grill, Central European",2
"Mediterranean, European, Wine Bar, Italian",2
"Indian, Grill, Contemporary, German",2
"European, German, Austrian, Swiss, Central European",2
"European, Mediterranean, Seafood",2
"Italian, Bar, Pizza, Seafood, Fast food",2
"Dutch, International, Healthy, European, Soups",2
"Italian, Pizza, International, Contemporary, Street Food",2
"French, Gastropub, Bar, Pub, Wine Bar",2
"Bar, Dutch, Cafe, Pub",2
"Chinese, Central Asian, Japanese sweets parlour",2
"French, European, Gastropub, Bar, Cafe, Mediterranean, Pub",2
"International, Mediterranean, Contemporary, Spanish, European",2
"Brazilian, Peruvian, Argentinian, Chilean, Colombian, South American",2
"Pizza, Italian, Seafood, International, Mediterranean",2
"Fusion, Italian, French",2
"Bar, European, Contemporary, Pub, Wine Bar, Scandinavian, Dining bars",2
"Cafe, Contemporary, Healthy, Wine Bar",2
"French, Philippine, European",2
"American, German, Dutch, Cafe, European",2
"Peruvian, Latin, Seafood, South American, Dining bars",2
"French, Bar, Cafe, Contemporary, Gastropub",2
"European, Portuguese, Cafe, Barbecue",2
"Italian, Mediterranean, Pizza, Diner, Wine Bar",2
"Contemporary, Mediterranean, Spanish, Catalan",2
"French, Japanese, American",2
"Italian, Healthy, Dining bars",2
"Pizza, Mediterranean, Grill, Middle Eastern, Afghani",2
"French, Mediterranean, European, Steakhouse, Seafood",2
"Italian, Pizza, Healthy, European",2
"Fast food, Greek, Diner",2
"Austrian, Central European, French, European, Wine Bar",2
"Fast food, Gastropub, Bar",2
"French, Bar, Pub, Street Food",2
"Japanese, Mediterranean, Asian",2
"American, Middle Eastern, South American, Hawaiian",2
"Italian, Romana, Lazio, Central-Italian, French, Pizza",2
"Italian, Bar, Seafood, Mediterranean, Barbecue, European",2
"Pizza, European, Albanian, Dining bars",2
"Dutch, French, Bar, International, European, Pub",2
"French, Grill, Diner, Gastropub",2
"Bar, Gastropub, European, Wine Bar, Pub",2
"Bar, Southern-Italian",2
"Steakhouse, Seafood, Spanish, Grill",2
"Seafood, European, Dutch, Wine Bar",2
"Seafood, Austrian, Central European",2
"Turkish, Middle Eastern, Fast food, Mediterranean, Egyptian",2
"Italian, Mexican, Pizza, Fast food, Street Food",2
"Dutch, Pub, Healthy, Cafe, European",2
"Diner, Israeli, Middle Eastern",2
"International, European, Spanish, Scandinavian",2
"Cafe, French, Street Food",2
"American, International, Spanish, Fusion",2
"Italian, Seafood, International, Mediterranean, European, Romanian",2
"Italian, French, Mexican, Japanese, Spanish, Asian",2
"Pizza, Fast food, French, Cafe",2
"Indian, International, Greek, Fusion",2
"Italian, Steakhouse, Pizza, Grill, Diner",2
"Indian, Asian, Nepalese, Fast food",2
"Cafe, European, Australian, Gastropub",2
"Italian, German, Mediterranean, Greek",2
"Asian, Thai, Grill, Vietnamese",2
"Chinese, Fast food, Thai, British",2
"Bar, European, Eastern European",2
"Dutch, European, New Zealand",2
"Dutch, Cafe, International, European, Contemporary, Pub, Healthy",2
"French, Spanish, Grill, Dining bars",2
"Chinese, Asian, Seafood, Thai",2
"Italian, French, American, British, Greek",2
"Caribbean, Jamaican, Fusion",2
"Spanish, Wine Bar, French, Deli, Dining bars",2
"International, Mediterranean, Fusion, Middle Eastern",2
"French, European, Brew Pub, Pub",2
"German, Polish, European, Russian, Soups, Eastern European",2
"German, Bar, Contemporary, Pub",2
"Indian, Fast food, Thai, Soups, Contemporary",2
"Grill, Street Food, American, Fast food",2
"Soups, Eastern European",2
"Bar, Pizza, Mediterranean, European, Greek",2
"Italian, Seafood, Healthy, Apulian, Southern-Italian",2
"German, Austrian, European, Pub, Gastropub, Central European",2
"Italian, Dutch, European, Street Food",2
"Dutch, Seafood, European, Diner, Healthy",2
"Pizza, American, Fast food, European",2
"Indian, Native American, Asian",2
"Sushi, Hawaiian, Japanese",2
"French, Bar, Cafe, Pub, Healthy, Gastropub",2
"Italian, European, Asian, Turkish, Indonesian",2
"International, Bar, Mediterranean, Pub, Soups, Dining bars",2
"Dutch, Swiss, European, Central European",2
"International, European, Central European, Dutch",2
"Lebanese, Mediterranean, Healthy, Middle Eastern, Deli",2
"Spanish, French, Wine Bar",2
"Seafood, Mediterranean, Pizza, European",2
"Cafe, Healthy, Irish",2
"Italian, Seafood, Mediterranean, Sicilian, Sardinian, Southern-Italian, European",2
"Seafood, Diner, Gastropub, German",2
"French, Pizza, Fast food, Italian",2
"Asian, Vietnamese, Fast food, Healthy, Street Food",2
"Italian, Brew Pub, Pizza, Pub, American",2
"Cafe, Australian, New Zealand",2
"Mediterranean, Steakhouse, Spanish, Barbecue",2
"Bar, British, Pub, Brew Pub, European",2
"International, Mediterranean, Arabic",2
"Dutch, Moroccan, Grill, Pub, Cafe",2
"Japanese, Bar, Sushi, Soups",2
"Barbecue, Eastern European, Central European, European",2
"Turkish, Greek, Street Food",2
"Mediterranean, European, Wine Bar, Spanish",2
"Bar, International, Pub, Russian, Eastern European",2
"Deli, German, Mediterranean, European",2
"Pizza, European, Contemporary, Healthy",2
"Italian, Pizza, Seafood, Tuscan, Central-Italian, Mediterranean, Barbecue",2
"Dutch, Cafe, Pub, Bar, European",2
"Chinese, Japanese, Sushi, Asian, Portuguese, European",2
"Italian, Deli, Sardinian, Southern-Italian",2
"European, Spanish, Steakhouse",2
"Brew Pub, Fast food, Barbecue, Pub",2
"Moroccan, Mediterranean, Middle Eastern, Grill",2
"Italian, Pizza, Arabic, Lebanese",2
"French, Contemporary, Wine Bar, Bar, European, Pub",2
"French, Bar, Pub, Healthy",2
"American, Cafe, International, German, Mediterranean",2
"International, Spanish, Argentinian, South American",2
"Bar, Mediterranean, Spanish, Pub, European",2
"Seafood, Fast food, Diner",2
"Deli, Belgian, European",2
"Barbecue, Contemporary, Dining bars",2
"Turkish, Gastropub, Mediterranean, Barbecue, Grill",2
"Pizza, Dining bars, French",2
"Mexican, American, Cafe, International, Indonesian",2
"American, Dutch, European, Asian, British",2
"Lebanese, Mediterranean, Middle Eastern, Latvian, Eastern European",2
"Italian, Pizza, Seafood, Barbecue, Neapolitan, Campania, Southern-Italian",2
"International, Mediterranean, European, Scandinavian",2
"Dutch, Cafe, Bar, International, European",2
"South American, Steakhouse, European",2
"Lebanese, Deli, Middle Eastern, Mediterranean, Street Food",2
"Steakhouse, German, Cafe, Diner, Beer restaurants",2
"Grill, Seafood, European, German",2
"Italian, Pizza, Seafood, Mediterranean, European, Romanian",2
"French, Cafe, Deli, Soups",2
"French, Seafood, Gastropub, Mediterranean, European, Healthy",2
"Latin, International, Spanish",2
"Asian, French, Chinese, Japanese, European",2
"Cafe, International, Diner, Healthy, Street Food",2
"Italian, Austrian, Pizza, German, European",2
"Northern-Italian, Southern-Italian, Italian",2
"Deli, Contemporary, Pub, Diner",2
"Fast food, Mediterranean, Turkish, Grill, Tunisian",2
"European, Fusion, French, International",2
"Italian, International, Mediterranean, Asian",2
"Contemporary, French, Seafood, International",2
"Cafe, International, Pub, Gastropub, Street Food",2
"French, Steakhouse, Cafe, Fast food, Healthy",2
"Pizza, British, Bar, Pub, Beer restaurants",2
"German, Pizza, Fast food, Middle Eastern",2
"French, Fast food, Turkish, Middle Eastern, Cafe",2
"International, German, Middle Eastern, Persian",2
"European, Steakhouse, Dutch, Bar, Cafe, International, Pub, Healthy",2
"American, Cafe, Fast food, International, Mediterranean",2
"Brew Pub, Bar, Cafe, Fast food, Gastropub, French",2
"Italian, Mediterranean, Spanish, Bar, Pub",2
"French, Steakhouse, Brew Pub, Wine Bar, Dining bars",2
"Barbecue, Grill, Australian",2
"Italian, Seafood, Sicilian, Southern-Italian, Pizza",2
"Latin, Central American, South American",2
"Cafe, Swedish, Scandinavian, French, Diner",2
"Dutch, European, Bar, Barbecue",2
"German, French, Cafe, European, Central European",2
"British, Bar, Pub, Steakhouse",2
"Greek, Seafood, Mediterranean, European, Contemporary",2
"European, Czech, Cafe",2
"Bar, European, Pub, Czech, Eastern European",2
"Bar, Pub, Deli",2
"German, European, Asian, Fusion",2
"Polish, European, Cafe, Healthy, Soups",2
"Italian, Pizza, Eastern European",2
"Italian, German, Russian",2
"Bar, European, Wine Bar, Diner",2
"American, Seafood, Dutch, Bar, Cafe, European, Grill",2
"French, European, Pub, Brew Pub, Dining bars",2
"Italian, Greek, Croatian, European",2
"Mexican, International, Argentinian, Latin",2
"Italian, Deli, French, Pizza",2
"Seafood, Mediterranean, Soups",2
"International, Healthy, French, Dutch, Seafood, European",2
"Austrian, European, Deli, Grill",2
"International, European, Pub, Healthy, Wine Bar, Gastropub, Central European",2
"Italian, Spanish, Wine Bar, Mediterranean",2
"Austrian, Pizza, Cafe, European, Healthy",2
"Asian, Chinese, Japanese, Indian, Vietnamese, Bangladeshi",2
"French, Fast food, Pub, Gastropub, Dining bars",2
"Mediterranean, Healthy, Portuguese, Cafe, European",2
"Italian, Brew Pub, Deli, Pub, Wine Bar",2
"Chinese, Asian, Vietnamese, Healthy, Soups",2
"Asian, Korean, Deli",2
"South American, Mexican, Bar, Central American",2
"Japanese, Sushi, Healthy, Steakhouse, Seafood, Asian",2
"Steakhouse, Dutch, Bar, European, Pub",2
"German, European, Mediterranean, Asian",2
"Wine Bar, Bar, Deli, Pub",2
"Italian, Lombard, Northern-Italian, Mediterranean, Contemporary",2
"Mediterranean, Middle Eastern, Lebanese, Arabic",2
"Bar, Cafe, European, Scandinavian, Danish, Pub",2
"Seafood, Fast food, Deli, Dutch, European",2
"Barbecue, Italian, Seafood",2
"Mediterranean, Grill, Fusion",2
"Cafe, French, Bar, Wine Bar",2
"Belgian, Bar, Pub, Beer restaurants",2
"Italian, Mexican, Indian, Asian, Greek",2
"American, Fast food, International, Contemporary, Healthy",2
"Mediterranean, European, Asian, South American",2
"French, European, Danish, Scandinavian",2
"European, Central European, French, Wine Bar",2
"Indian, Asian, Nepalese, Fusion",2
"German, International, Italian, Pizza",2
"Japanese, Thai, Asian, Vietnamese",2
"Japanese, American, Chinese, Sushi",2
"Cafe, Irish, Deli, Healthy",2
"Dutch, Healthy, Seafood, International, European, Contemporary",2
"Steakhouse, German, Diner, Soups",2
"Steakhouse, German, European, Grill, Diner, Croatian",2
"French, German, International, Diner, Gastropub",2
"Pizza, Italian, Romana, Lazio, Northern-Italian, Central-Italian, Southern-Italian",2
"Austrian, Cafe, European, Soups, Central European",2
"Greek, German, Central European",2
"Bar, Pizza, Cafe, Mediterranean, European, Pub, Soups, Dining bars",2
"Cafe, Mediterranean, Barbecue, Grill, Diner",2
"American, International, Fast food",2
"Italian, Bar, Mediterranean, Pub, Apulian, Southern-Italian",2
"Indian, Grill, Middle Eastern",2
"French, Cafe, European, Eastern European, Central European, Hungarian",2
"Steakhouse, European, Central European, German, Grill",2
"Contemporary, Healthy, International, European",2
"Italian, Fast food, Mediterranean, Pub, Gastropub, Street Food",2
"International, Diner, Street Food",2
"Southern-Italian, Italian, Pizza, Neapolitan, Campania, Mediterranean",2
"European, Barbecue, Romanian",2
"Greek, Steakhouse, Bar, Pub",2
"French, Caribbean, African, Middle Eastern, Cuban, Afghani",2
"Brew Pub, Healthy, Belgian, Dutch, European, Pub",2
"Dining bars, Healthy, French",2
"Brazilian, Street Food, Fast food, Diner, South American",2
"French, American, Steakhouse, Barbecue, European, Grill",2
"Steakhouse, Dutch, Central American, European",2
"French, Brew Pub, Wine Bar, International",2
"Street Food, Fast food, Mexican",2
"Middle Eastern, Mediterranean, Fast food, Israeli",2
"Korean, Japanese, Sushi",2
"Indian, Indonesian, Asian",2
"Chinese, Japanese, Seafood, Sushi, Asian, Middle Eastern, Fusion",2
"Healthy, Afghani",2
