cuisines,count
"Japanese, Sushi, Asian, Seafood",295
"Fast food, Seafood",295
"Spanish, Steakhouse",293
Gastropub,293
"Dutch, Fast food, European",291
"Italian, European, Pizza",290
"British, Fast food",289
"Wine Bar, French",287
"European, Dutch",286
"German, Pub, Gastropub",285
"Italian, Pizza, Cafe",284
"Seafood, European",284
"Argentinian, South American",283
"Italian, Romana, Lazio, Central-Italian",283
"Fast food, Spanish",280
"Asian, Vietnamese, Chinese",280
"Cafe, Bar, Pub",279
"Italian, Mediterranean, European, Pizza",277
"French, European, Grill",274
"European, Scandinavian, Danish",272
"Italian, Mediterranean, Wine Bar",270
"Austrian, International, European",270
"Italian, Mediterranean, Pizza, European",270
"Pizza, Mediterranean",268
"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",268
"American, Diner",267
"Italian, Central-Italian",264
"Spanish, Wine Bar",264
"Italian, Mediterranean, Sicilian, Southern-Italian",264
"European, Czech, Central European",262
"Greek, Grill",260
"Japanese, Sushi, Asian, Chinese",259
"Cafe, Mediterranean",259
"Chinese, Seafood, Asian",258
"Austrian, German, European",258
"Chinese, Thai",257
"American, Barbecue",257
"Bar, Grill, Pub",256
"Italian, Pizza, French",256
"Italian, Polish, European",255
"German, Wine Bar",255
"Mediterranean, Turkish, Middle Eastern",255
"Chinese, Japanese, Asian, Vietnamese",255
"American, British",254
"Italian, Greek",254
"Mexican, American",254
"Dutch, Bar, European, Pub",253
"European, International",253
"Italian, Seafood, European",252
"Mediterranean, Greek, Seafood",251
"Mediterranean, French",251
"Mediterranean, Spanish, Catalan",251
"Bar, Spanish",250
"Sushi, Japanese, Asian",249
"Italian, Austrian, European",249
"American, Bar, Pub",249
Cajun & Creole,249
"Belgian, French, European",248
"Dutch, European, International",248
"Turkish, Fast food, Middle Eastern",247
"Indian, Asian, Balti, Eastern European",247
"Italian, Turkish",247
"Italian, Northern-Italian, Central-Italian, Southern-Italian",247
"British, European",247
"Italian, Mediterranean, Emilian, Northern-Italian",246
"Bar, British, Pub, International",246
"Cafe, British, Welsh",245
Polish,245
"Japanese, Sushi, Asian, Fusion",244
"French, European, International",244
"Dutch, Bar, European",243
"Seafood, Italian",243
"Cafe, Diner",241
"Mediterranean, European, Spanish, International",240
"Mediterranean, European, Spanish, Healthy",239
"International, Mediterranean",238
"Bar, Cafe, Spanish, Pub",238
"Italian, Mediterranean, European, Central European",237
"Mexican, Latin",237
"Mediterranean, Spanish, Seafood",237
"Caribbean, Jamaican",237
"German, Cafe, European",236
"Steakhouse, Barbecue, Spanish",235
"French, American, Fast food",234
"German, Gastropub",233
"French, Dutch, Seafood, European",232
"Greek, Seafood, Mediterranean",232
"Bar, British, Pub, Grill",230
"Italian, Pizza, Mediterranean, Romana, Lazio, Central-Italian",230
"French, European, Central European",230
Soups,229
"Chinese, Japanese",228
"Mediterranean, Spanish, Fusion",227
"Italian, Ligurian, Northern-Italian",227
"Italian, Bar, Pizza, Pub",227
"American, European",226
"Steakhouse, European",226
"French, Seafood, Mediterranean",225
"Cafe, Fast food, British",224
"Polish, European, Eastern European, Central European",224
"German, Seafood, European",224
"American, Steakhouse",222
"Irish, Cafe, European",221
"Sushi, Asian, Japanese",221
"Cafe, Wine Bar",221
"Italian, Healthy",221
"Chinese, Asian, Fast food",220
"Greek, Seafood",220
"Cafe, Mediterranean, Spanish",219
"Cafe, British, Soups",219
"Bar, Pub, Wine Bar",218
"Italian, Fast food, Mediterranean",218
"Steakhouse, Greek",217
"Pub, Bar, British",216
"Italian, Pizza, Mediterranean, Barbecue",216
"Italian, European, Central European",216
"Italian, French, Mediterranean",216
"Steakhouse, Mediterranean, Spanish",215
"Italian, Neapolitan, Campania, Southern-Italian",215
"Peruvian, South American",215
"Japanese, Asian, Soups",213
"Greek, Mediterranean, European",212
"Dutch, Seafood, European, International",212
"German, Bar, Pub",211
"Spanish, Grill",211
"Cafe, Soups",211
"Mediterranean, Greek, European",211
"Pizza, Fast food, Turkish",211
"Italian, Pizza, Seafood, Mediterranean, Tuscan, Central-Italian",210
"Italian, Pizza, Mediterranean, Tuscan, Central-Italian",210
"Italian, Seafood, Pizza",209
"German, International, European, Central European",209
"Fast food, European",208
"Spanish, Seafood",207
"Pizza, Cafe",207
"Fast food, French",206
"Italian, Cafe, Mediterranean",206
"European, British, Scottish",206
"Italian, Gastropub",204
"Italian, Mediterranean, Neapolitan, Campania, Southern-Italian",204
"Pizza, Fast food, Italian",203
"Seafood, Mediterranean, European",203
"Italian, Pizza, Mediterranean, Sicilian, Southern-Italian",203
"French, Street Food",202
"Belgian, Seafood, European",202
"French, European, Spanish",201
"French, Barbecue, European",201
"Indonesian, Asian",200
"Middle Eastern, Afghani",200
"Seafood, Mediterranean, European, Spanish, Catalan",200
"Bar, Mediterranean, Spanish, Pub",198
"Pizza, Italian, European",198
"Italian, Pizza, Seafood, Mediterranean, Barbecue",197
"French, Seafood, European, Healthy",197
"British, Seafood, Fast food",197
"Italian, Barbecue, Mediterranean",196
"Belgian, European, French",196
"Mediterranean, Turkish",196
"French, Pub, Gastropub",196
"French, European, Bar, Pub",195
"Pizza, French",195
"International, Mediterranean, Spanish",195
"British, Bar",193
"Bar, Pizza, Pub",193
"Indian, Balti, Eastern European",193
"Asian, Chinese, Japanese",192
"German, Greek",192
"Mexican, Latin, Central American",192
"American, Spanish",192
"Bar, Pub, Gastropub",191
Russian,190
"Bar, European, British, Pub",189
"French, European, Portuguese",189
"French, International, European",187
"Chinese, Japanese, Sushi, Asian, Seafood",187
"American, Steakhouse, Barbecue",187
"Cafe, Bar",186
"Italian, Mediterranean, Lombard, Northern-Italian",186
"Austrian, European, Gastropub",186
"Brew Pub, Bar, Pub",186
"Italian, American, Pizza",185
Belgian,185
"Italian, Pizza, Seafood, Mediterranean, Sardinian, Southern-Italian",183
"Sicilian, Southern-Italian",183
"European, Healthy",183
"Central European, European",183
"Italian, Pizza, Deli",183
Beer restaurants,182
"Central European, German, European",181
"Korean, Asian",180
"Mediterranean, Portuguese, European",180
"Cafe, Pub",180
"Mediterranean, European, Spanish, Fusion",179
"Seafood, Spanish, Mediterranean",178
"Seafood, Greek, Mediterranean",177
"French, Bar, Cafe, Pub",177
"French, German",177
"Cafe, European, Swedish",176
"Cafe, British, Soups, Scottish",174
"Pizza, Italian, French",174
"Pizza, Street Food",174
"German, Cafe, European, Central European",174
"Pizza, Grill",172
"Fast food, Healthy",171
"French, Wine Bar, European",171
"Steakhouse, British",170
"Bar, British, Pub, Brew Pub",170
"Steakhouse, Grill",170
"Cafe, Contemporary",170
"Italian, Cafe, European",170
"Wine Bar, Italian",169
"Spanish, Diner",169
"Mediterranean, Spanish, Contemporary",169
"Barbecue, Spanish",168
"Italian, Pizza, International",168
"Steakhouse, Barbecue, European",167
"German, Grill",167
"Spanish, Bar, Mediterranean, Pub",166
"Italian, Pizza, Seafood, Mediterranean, Ligurian, Northern-Italian",166
"Japanese, Sushi, Asian, Healthy",166
"Chinese, Vietnamese",165
"British, Contemporary",164
"American, Pizza",164
"Bar, European, British",163
"Lebanese, Middle Eastern",163
"Bar, Cafe, Pub, Wine Bar",163
"Italian, Street Food",163
"European, Contemporary",162
"Fast food, Middle Eastern",162
"European, Italian",161
"Italian, Seafood, Pizza, Mediterranean",161
"Chinese, Sushi, Asian, Mongolian",161
"Chinese, Seafood",161
"Italian, Pizza, Grill",161
"American, German",160
"French, Steakhouse",160
"Italian, International, Mediterranean",159
"Italian, Steakhouse, Barbecue",159
"Cafe, European, British",159
"International, German",159
"Italian, European, Pizza, Mediterranean",158
"International, European, Central European",158
"Mediterranean, Barbecue, Greek",158
"Italian, Pizza, Street Food",158
"French, Mediterranean, Healthy",157
"Fast food, Grill",157
"Portuguese, Grill",157
"Turkish, Middle Eastern, Fast food",157
South American,157
"Seafood, European, Portuguese",157
"Italian, Seafood, Mediterranean, Lombard, Northern-Italian",157
"Italian, Contemporary",157
"Cafe, European, Central European",156
"German, European, Croatian",156
"Steakhouse, Barbecue, Argentinian",156
"European, German, Central European",156
"Bar, Cafe, European, Pub",155
"Bar, British, Pub, Contemporary",155
"Mediterranean, European, Croatian",155
"Mediterranean, European, Spanish, Contemporary",155
"Italian, Seafood, Mediterranean, Healthy",155
"Bar, Pizza, British, Pub",155
"French, Belgian, Seafood, European",154
"Italian, Pizza, Neapolitan, Campania, Southern-Italian, Mediterranean",154
"Italian, Seafood, Mediterranean, European, Sicilian, Southern-Italian",154
"International, Healthy",153
"Barbecue, European, Portuguese",152
"American, Fast food, Street Food",152
"Cafe, British, Diner",152
"French, Fusion",152
"Asian, Chinese, Vietnamese",152
"Mediterranean, Middle Eastern",152
"Latin, Spanish",151
"Italian, Seafood, Mediterranean, Soups",151
"Italian, Mediterranean, Sardinian, Southern-Italian",150
"Indian, Fast food, Asian",150
