restaurant_name,country_name,city_name,cuisines
Au Pavillon Bleu,France,Ozoir-la-Ferriere,French
Restaurant - Pizzeria la Gondole,France,Ozoir-la-Ferriere,
La Muraille de Chine,France,Ozoir-la-Ferriere,"Chinese, Asian, Vietnamese"
Au Sud Du Maroc,France,Ozoir-la-Ferriere,"Moroccan, Middle Eastern"
Thai Chokdee,France,Ozoir-la-Ferriere,"Thai, Asian"
Le Château des agneaux,France,Ozoir-la-Ferriere,French
Tropiques Gourmets,France,Ozoir-la-Ferriere,
Pizza Latina,France,Ozoir-la-Ferriere,French
La Cedraie,France,Curzay-sur-Vonne,French
Restaurant les Délices,France,Mollans sur Ouveze,French
Les Tilleuls des Dauphins,France,Mollans sur Ouveze,French
La Table d'Honorine,France,Mollans sur Ouveze,French
Poz,France,Albaret-Sainte-Marie,Cafe
Aire de la Lozere A75,France,Albaret-Sainte-Marie,
Cafétéria Les Mégalithes,France,Albaret-Sainte-Marie,French
Le Resto,France,Albaret-Sainte-Marie,
Brasserie Le Grand L,France,Albaret-Sainte-Marie,"French, Brew Pub"
Restaurant - Pizzeria EurêKa,France,Albaret-Sainte-Marie,"Italian, French, Pizza, European, Contemporary"
Le Theophile,France,Albaret-Sainte-Marie,French
Place du Marché,France,Albaret-Sainte-Marie,"French, Bar"
McDonald's,France,Albaret-Sainte-Marie,"American, Fast food"
Restaurant Des Voyageurs,France,Saint-Julien de Civry,French
Le Pescalune,France,Perignat-les-Sarlieve,"French, European"
Le Gergovie,France,Perignat-les-Sarlieve,"French, Bar, Pub, Diner, Gastropub"
Relais de l'Abbaye Lucelle,France,Lucelle,French
Le Petit Kohlberg,France,Lucelle,"French, European"
L'effet Boeuf,France,Les Arcs,"Steakhouse, French, European, Grill"
Bars Et Restaurants Arc 1800,France,Les Arcs,
Le 2134 Les Arcs,France,Les Arcs,"French, European"
L'Atelier D'Eric,France,Les Arcs,French
Le Chic Mama,France,Les Arcs,"French, Diner"
La Terrasse des Filles,France,Les Arcs,"French, European"
Belliou La Fumée,France,Les Arcs,"French, European"
Chalet D'altitude De L'Arpette,France,Les Arcs,French
Au Nouveau Monde,France,Les Arcs,"French, Seafood"
Rocky Mountain,France,Les Arcs,"Bar, Pub, French"
Chez Clarisse,France,Les Arcs,"French, European"
Le Chalet L'Orso,France,Les Arcs,"French, European"
Le Choucas,France,Les Arcs,French
L'arquebuse,France,Les Arcs,French
La Fruitière - Arc 1800,France,Les Arcs,French
Le Faitout,France,Les Arcs,"Italian, French"
Patatrak,France,Les Arcs,"Indian, Bar, Thai, Pub, Vietnamese, Diner"
Le Djungo,France,Les Arcs,"French, European"
La cheminée,France,Les Arcs,"Pizza, Dining bars"
La Table des Lys,France,Les Arcs,"French, European, International"
La Folie Douce Les Arcs,France,Les Arcs,French
Au Refuge Gourmand,France,Les Arcs,French
Le Savoy,France,Les Arcs,"French, European"
Les Chalets de l'Arc,France,Les Arcs,"French, European"
Le Refuge du Jambon,France,Les Arcs,French
Aux Enfants Terribles,France,Les Arcs,French
La Cabane des Neiges,France,Les Arcs,French
L'Alpage,France,Les Arcs,French
Le Laurus,France,Les Arcs,"French, European"
Kilimandjaro,France,Les Arcs,French
Le Solliet,France,Les Arcs,"French, European"
"Le 1950, Brasserie Française",France,Les Arcs,"French, European"
La Creche Restaurant d'Altitude,France,Les Arcs,French
Mountain Cafe,France,Les Arcs,"French, European, Bar, Pub"
La Marmite,France,Les Arcs,"French, European"
Mamie Crepe,France,Les Arcs,"French, European, Healthy"
Aiguille Grive,France,Les Arcs,"French, European"
Hemingway's,France,Les Arcs,"French, Bar, Pizza, European, Grill"
Le P'tit Zinc,France,Les Arcs,French
Les belles pintes,France,Les Arcs,Pub
Benji's,France,Les Arcs,"French, American, Bar, European"
Le Panoramic,France,Les Arcs,"French, Bar, European, Pub"
Le Chalet Du Pre St. Esprit Les Arcs 73700,France,Les Arcs,"French, European"
B.K.M. - Bar King Mad,France,Les Arcs,"American, Bar, Pub"
Saveurs des Cimes,France,Les Arcs,"French, International"
Chalet Grillette,France,Les Arcs,"French, European"
Meli's Snack,France,Les Arcs,"Fast food, American"
Miam Corner,France,Les Arcs,"French, Fast food"
Le Gourmet Montagnard,France,Les Arcs,French
Restaurant Le Mazot,France,Les Arcs,"French, European, Grill"
Le Madly,France,Les Arcs,"French, European"
Au Schuss,France,Les Arcs,"French, European"
Wood Bear Cafe Arc 1950,France,Les Arcs,"French, Cafe, Healthy, Brew Pub"
Red Rock,France,Les Arcs,"French, Steakhouse, Brew Pub, Pub, Dining bars"
Red Hot Saloon,France,Les Arcs,"Bar, European, Pub"
Le Jardin Alpin,France,Les Arcs,
Quality Pizza,France,Les Arcs,"Pizza, Italian"
Abreuvoir Les Arcs 1600,France,Les Arcs,"Brew Pub, Pub, Wine Bar"
Restaurant Bulle Cafe Les Arcs,France,Les Arcs,"French, Seafood, European"
Snack du Bois de l'Ours,France,Les Arcs,"French, Bar, Pub"
Bruschetteria du Talmelier,France,Montendre,"French, European"
Le Chalet du Lac,France,Montendre,Pub
La Petite Bouffe,France,Montendre,French
Restaurant La Quincaillerie,France,Montendre,"French, European"
Montendre Asie,France,Montendre,"Asian, Vietnamese"
Pizzeria Le Montendrais,France,Montendre,"French, European"
Le Bistrot Gourmand,France,Montendre,French
Le Bellevue restaurant & bar,France,Champillon,
Le Royal,France,Champillon,
Pizz'Amour,France,Ascain,
Moments Gourmands,France,Ascain,"French, European, Spanish"
"Entre Nous, Comptoir à Pizzas",France,Ascain,"Italian, Pizza"
Restaurant Larralde,France,Ascain,"French, European, Spanish"
Cafe Bar Plazan Ostatua,France,Ascain,
Restaurant Etorri,France,Ascain,"French, European, Spanish"
A Tutta Pizza,France,Ascain,"Italian, Pizza, Fast food"
Maison Susperregui,France,Ascain,
Restaurant- Bar,France,Ascain,French
Baskulinair,France,Ascain,"Asian, American, International, Deli, Indonesian"
Pizza Gorri,France,Ascain,Italian
Cidrerie Txopinondo Sagarnotegia,France,Ascain,"French, Steakhouse, Grill"
Eguski,France,Ascain,French
Restaurant Eguzki,France,Ascain,"French, European"
Restaurant Des Chasseurs,France,Ascain,French
Hotel Restaurant Trabenia,France,Ascain,Spanish
Chez Gildas,France,Ascain,"French, Spanish"
Trinketeko Ostatua,France,Ascain,French
L'Hotel du Pont - Restaurant Zubiburu,France,Ascain,"French, Spanish"
Achafla Baita,France,Ascain,"French, Spanish"
Bkc Traiteur,France,Ascain,"French, Deli"
Xoko Ona,France,Ascain,"Brew Pub, Gastropub, Cafe, Fast food, Wine Bar"
Le Chatelet,France,Saint-Amour,
Le Saint Augustin,France,Saint-Amour,French
Brasserie Cafe Francais,France,Saint-Amour,"French, European"
L'escale,France,Saint-Amour,French
Hotel Restaurant Du Commerce,France,Saint-Amour,French
Restaurant Des Voyageurs,France,Monein,French
Pizz'Adhoc,France,Monein,"Italian, French"
Une Pause s'Impose,France,Monein,French
Chez Jungas Darrigrand,France,Monein,"French, Asian, Bangladeshi, Mongolian, Caucasian, Arabic"
L'Estaminet,France,Monein,French
l'auberge des Roses,France,Monein,"French, European"
Le Cabanon Cafe Restaurant Bailleres,France,Monein,"French, Fast food"
Au Petit Gourmand,France,Borreze,"Pizza, French"
Bistrot La Galerie,France,Magalas,"French, Mediterranean, European"
Mascarin La Mia Pizza,France,Magalas,Fast food
Monsieur Pierre,France,Magalas,French
Excalibur,France,Magalas,"French, Pizza"
Le Grecos,France,Magalas,
Bar Le Mediterranee,France,Le Grau d'Agde,French
Miseno Snack,France,Le Grau d'Agde,"Italian, Bar, Pizza, Fast food"
Chez Nine,France,Le Grau d'Agde,French
Brasserie Les Papillotes,France,Le Grau d'Agde,"French, Mediterranean, European, Italian"
Hôtel l'Escale,France,Le Grau d'Agde,French
Brasserie des Dunes,France,Le Grau d'Agde,French
Côté Jardin,France,Le Grau d'Agde,Barbecue
La Plancha,France,Le Grau d'Agde,"European, Pub, Gastropub"
Glacier Chez Pierre Paquita,France,Le Grau d'Agde,
Pizz'n'zo,France,Le Grau d'Agde,"French, Pizza, Fast food, European, Italian"
La Plage,France,Le Grau d'Agde,French
Aux Saveurs,France,Le Grau d'Agde,Fast food
Les Ondines,France,Le Grau d'Agde,"French, Mediterranean, European"
Pizza 34,France,Le Grau d'Agde,"Italian, Pizza"
Chez Graziella,France,Le Grau d'Agde,"Italian, French"
Le Ponton,France,Le Grau d'Agde,"French, Mediterranean, European"
Le Voilis,France,Le Grau d'Agde,"French, Mediterranean, European"
Le Marin Pêcheur,France,Le Grau d'Agde,"French, Seafood, European"
L'Astoria,France,Le Grau d'Agde,"French, Mediterranean, European"
La Pergola,France,Le Grau d'Agde,"Seafood, French, Healthy"
Les Zoulous,France,Le Grau d'Agde,"Mediterranean, Spanish, Grill, Beer restaurants"
L'Oasis,France,Le Grau d'Agde,"French, Deli"
L'Envie,France,Le Grau d'Agde,"Gastropub, French, Mediterranean, European, Healthy"
La Creperie D'Amandine,France,Le Grau d'Agde,"French, European"
Snack L'horizon,France,Le Grau d'Agde,French
Le Bistrot Gourmand,France,Le Grau d'Agde,"French, Mediterranean, European"
Le Notre Dame,France,Le Grau d'Agde,"French, Mediterranean"
L'Ardoise du Marche,France,Le Grau d'Agde,"French, Mediterranean, European, Gastropub"
Ô Grain de Sel,France,Le Grau d'Agde,"European, French, Mediterranean"
Le Cuit l'Eut Cru,France,Le Grau d'Agde,"French, Mediterranean"
Au Grau Coquillage,France,Le Grau d'Agde,Seafood
Restaurant du Lac,France,Cancon,"French, European"
Auberge des Glycines,France,Cancon,French
Les Voyageurs  Bar Hotel Restaurant,France,Cancon,French
Pizzeria du Chateau,France,Cancon,Pizza
La Tete D'Ail,France,Cancon,"French, European"
Sas Cerza Restaurant la Pagode,France,Hermival-les-Vaux,French
L'Olivier,France,Varennes-Jarcy,"French, Wine Bar"
Hostellerie de Varennes,France,Varennes-Jarcy,
Moulin De Jarcy,France,Varennes-Jarcy,French
Le Relais Du Château,France,Varennes-Jarcy,French
Cafe de la Place,France,Boussac,"French, Bar, Pub"
Grand CAFE DES Sports,France,Boussac,French
Hotel Restaurant Le Central,France,Boussac,"French, European"
Snack Guinguette du Claps,France,Luc-en-Diois,French
